Number,Boat type,Crew,Class,Start time,Finish time,Raw time,Category,Time with adjustment,Vet adjustment,
217,8+,Cantabrigian,W IM3,01:45:52,01:57:39,00:11:47,8+ W IM3,00:11:47,,
213,8+,City Womens squad,W IM3,01:43:38,01:55:31,00:11:53,8+ W IM3,00:11:53,,
218,8+,Champs 3.29er's,W MasD,01:46:19,01:58:11,00:11:52,8+ W Mas,00:11:18,00:00:34,NOT
126,8+,Champs Zephyr,W MasC,01:07:11,01:18:53,00:11:42,8+ W Mas,00:11:25,00:00:17,
127,8+,Rad,W MasC,01:07:40,01:19:32,00:11:52,8+ W Mas,00:11:35,00:00:17,
318,8+,Champs,W MasC,02:23:19,02:35:44,00:12:25,8+ W Mas,00:12:08,00:00:17,
128,8+,Champs Happy rowers,W MasD,01:08:11,01:22:08,00:13:57,8+ W Mas,00:13:23,00:00:34,
314,8+,Kings W2,W Mays Other,02:21:15,02:32:49,00:11:34,8+ W Mays Other,00:11:34,,
110,8+,Downing,W Mays W1,00:57:34,01:07:47,00:10:13,8+ W Mays W1,00:10:13,,YES
414,8+,Emma,W Mays W1,00:23:14,00:33:36,00:10:22,8+ W Mays W1,00:10:22,,
303,8+,Christ's,W Mays W1,02:15:43,02:26:18,00:10:35,8+ W Mays W1,00:10:35,,
209,8+,Selwyn,W Mays W1,01:41:24,01:52:39,00:11:15,8+ W Mays W1,00:11:15,,
210,8+,Kings,W Mays W2,01:42:15,01:53:04,00:10:49,8+ W Mays W2,00:10:49,,???
215,8+,Darwin,W Mays W2,01:44:49,01:56:09,00:11:20,8+ W Mays W2,00:11:20,,
422,8+,Jesus,W Mays W2,00:26:08,00:37:34,00:11:26,8+ W Mays W2,00:11:26,,
421,8+,Peterhouse,W Mays Other,00:25:50,00:37:19,00:11:29,8+ W Mays Other,00:11:29,,
212,8+,Churchill W1,W Mays W2,01:43:11,01:54:47,00:11:36,8+ W Mays W2,00:11:36,,
124,8+,99 A Lofts,W Nov,01:05:52,01:17:13,00:11:21,8+ W Nov,00:11:21,,NOT
427,8+,Cantabrigian  G-oar-geous,W Nov,00:28:26,00:39:48,00:11:22,8+ W Nov,00:11:22,,
121,8+,StMarys,W Nov,01:04:51,01:16:56,00:12:05,8+ W Nov,00:12:05,,
125,8+,99 B Champion,W Nov,01:06:36,01:19:00,00:12:24,8+ W Nov,00:12:24,,
223,8+,99 C Riach,W Nov,01:48:48,02:01:25,00:12:37,8+ W Nov,00:12:37,,
224,8+,City B,W Nov,01:49:28,02:02:37,00:13:09,8+ W Nov,00:13:09,,
122,8+,Broxbourne,X MasC,01:04:21,01:14:29,00:10:08,8+ X Mas,00:10:08,,
